lat, long, x, y
54, 3,  5392,  5906
54, 4,  7407,  6415
54, 5,  9425,  6897
54, 6, 11453,  7358
54, 7, 13479,  7783
54, 8, 15516,  8178
54, 9, 17547,  8543
54,10, 19582,  8879
54,11, 21616,  9184
54,12, 23655,  9459
54,13, 25686,  9703
54,14, 27733,  9921
54,15, 29786, 10112
54,16, 31829, 10271
54,17, 33881, 10402
54,18, 35922, 10506
54,19, 37968, 10577
54,20, 40014, 10620
50, 3,  1882, 19623
50, 4,  4096, 20161
50, 5,  6314, 20663
50, 6,  8537, 21138
50, 7, 10770, 21579
50, 8, 13000, 21986
50, 9, 15222, 22362
50,10, 17460, 22711
50,11, 19698, 23031
50,12, 21928, 23319
50,13, 24173, 23572
50,14, 26399, 23794
50,15, 28642, 23993
50,16, 30872, 24160
50,17, 33114, 24297
50,18, 35356, 24404
50,19, 37588, 24478
50,20, 39832, 24521
49, 3,  1036, 23069
49, 4,  3303, 23605
49, 5,  5570, 24110
49, 6,  7838, 24592
49, 7, 10117, 25030
49, 8, 12391, 25446
49, 9, 14668, 25828
49,10, 16945, 26180
49,11, 19228, 26498
49,12, 21521, 26788
49,13, 23789, 27041
49,14, 26072, 27271
49,15, 28362, 27466
49,16, 30642, 27628
49,17, 32932, 37767
49,18, 35211, 27878
49,19, 37503, 27949
49,20, 39786, 27992
